(1ec5,aeaf) (21e5,aeaf)
(7ff,c3d) (fffffffffffffb3f,c3d)
(8bc3,b34d) (436b,b34d)
(d1d,15f1) (8f5,15f1)
(71,fd) (25,fd)
(1bf5,3ac9) (b4d,3ac9)
(e29,3f47) (1d59,3f47)
(1d0b,228b) (d4b,228b)
(407b,666b) (188b,666b)
(c4f,3731) (fffffffffffffd8b,3731)
(5299,553f) (22b1,553f)
(c9,1c3) (ffffffffffffff39,1c3)
(5f1d,81cb) (ffffffffffffe98d,81cb)
(3983,4d87) (51b,4d87)
(25,ccd) (fffffffffffffead,ccd)
(8def,9485) (ffffffffffffe10f,9485)
(af3,15a3) (ffffffffffffffa3,15a3)
(df1,21b9) (c11,21b9)
(3d,70f) (2dd,70f)
(409f,49b7) (ffffffffffffdd5f,49b7)
(139d,61bd) (ffffffffffffd9a5,61bd)
(bbd,2357) (22d,2357)
(2c79,56f5) (ffffffffffffe149,56f5)
(4e61,6c0d) (2419,6c0d)
(12e9,165b) (fffffffffffff999,165b)
(ecf,bd3b) (ffffffffffffaf2f,bd3b)
(249,439) (ed,439)
(7ea9,81c5) (ffffffffffffe909,81c5)
(3eb,70a9) (2b9f,70a9)
(8bf,1015) (367,1015)
(8921,8ee5) (1361,8ee5)
(2555,2c27) (ffffffffffffee7d,2c27)
(34d,ea5) (fffffffffffffdf5,ea5)
(191,3d3) (ffffffffffffffb1,3d3)
(124f,2c95) (ffffffffffffefaf,2c95)
(6daf,91cf) (40f7,91cf)
(e6f,18a9) (b9f,18a9)
(2ed,ff7) (fffffffffffffdc5,ff7)
(23eb,a71d) (ffffffffffffaf7b,a71d)
(cd7,114d) (113,114d)
(f13,1a65) (ffffffffffffff9b,1a65)
(163,473) (eb,473)
(a369,c127) (5011,c127)
(9a7,cd7) (fffffffffffffc3f,cd7)
(bcb,d4b) (4c3,d4b)
(da3,10f7) (fffffffffffff903,10f7)
(10bb,12f5) (fffffffffffff873,12f5)
(11f5,373d) (415,373d)
(115f,23b7) (76f,23b7)
(7aed,982d) (2e85,982d)
(2141,7d29) (ffffffffffffef39,7d29)
(144d,1c37) (cb5,1c37)
(261,391) (ffffffffffffff55,391)
(295,301f) (fffffffffffff07d,301f)
(4d,79) (d,79)
(1481,29e1) (1481,29e1)
(144d,2a79) (fffffffffffff171,2a79)
(f53,544f) (fffffffffffffc5b,544f)
(2fdd,41c5) (fffffffffffffb35,41c5)
(30fb,4249) (fffffffffffff0d7,4249)
(b03,213b) (fffffffffffff393,213b)
(1a5f,3073) (12c7,3073)
(d3,fd) (ffffffffffffffcf,fd)
(b,104b) (fffffffffffffd23,104b)
(1723,31a3) (fffffffffffff48b,31a3)
(4157,89a5) (3497,89a5)
(a51,d37) (211,d37)
(2329,28f1) (36d,28f1)
(495d,5153) (ffffffffffffffc5,5153)
(ad9,1a0b) (4a9,1a0b)
(121,3e47) (fb1,3e47)
(3289,867b) (2d61,867b)
(373,93b) (fffffffffffffffb,93b)
(2ab5,547f) (75d,547f)
(1f0d,216d) (fffffffffffff3c9,216d)
(6d5,a03) (fffffffffffffe3d,a03)
(c6d,3937) (1a5,3937)
(2f5,e53) (fffffffffffffb5d,e53)
(683,1157) (12b,1157)
(47,331) (ffffffffffffff4b,331)
(b83,2bb5) (fffffffffffffa7f,2bb5)
(e5,1e1) (ffffffffffffffad,1e1)
(8fb,3617) (ffffffffffffea0b,3617)
(bd5,1ea9) (965,1ea9)
(1981,404f) (eb9,404f)
(41c5,49a9) (14dd,49a9)
(643,ca1) (38b,ca1)
(f43,2f9f) (ffffffffffffeafb,2f9f)
(745,bd5) (fffffffffffffe8d,bd5)
(d1,2941) (fffffffffffff2e1,2941)
(5ec7,6959) (fffffffffffffa17,6959)
(95,30b) (1d,30b)
(335,7a9) (fffffffffffffd7d,7a9)
(1523,1b01) (fffffffffffff97b,1b01)
(224f,2c05) (fffffffffffff26f,2c05)
(3607,533f) (817,533f)
(4877,81d1) (ffffffffffffd62f,81d1)
(2b9,9d7) (c1,9d7)
(2cd5,3415) (ffffffffffffec55,3415)
(2dc1,3365) (ffffffffffffff65,3365)
(23ad,6ac3) (ffffffffffffdc0d,6ac3)
(3d7,c4d) (fffffffffffffea3,c4d)
(223d,2d77) (fffffffffffff4f5,2d77)
(10d,3dd) (ffffffffffffffb1,3dd)
(3a9,4df) (1b1,4df)
(d1f,37ed) (fffffffffffff22b,37ed)
(1303,7561) (ffffffffffffe447,7561)
(2a57,36c1) (fffffffffffffdbb,36c1)
(931,41b1) (fffffffffffff071,41b1)
(47b,c37) (fffffffffffffdb3,c37)
(b47,caf) (fffffffffffffe37,caf)
(4451,8b1b) (3bd9,8b1b)
(229f,2f9f) (d0f,2f9f)
(deb,2081) (f23,2081)
(1339,5101) (fffffffffffff309,5101)
(727,5b55) (c97,5b55)
(d2b,3613) (b93,3613)
(91d1,b251) (3f65,b251)
(5c29,9563) (3391,9563)
(b83,51fd) (247,51fd)
(701,887) (221,887)
(fb,87d) (3f3,87d)
(f61,197f) (841,197f)
(b483,bcbf) (ffffffffffffad13,bcbf)
(4a3,21a3) (803,21a3)
(a1b,9089) (ffffffffffffecc3,9089)
(2f1,d09) (fffffffffffffb39,d09)
(10c9,5911) (ffffffffffffeef1,5911)
(353,72d) (2ef,72d)
(66b,995) (e3,995)
(1ce5,360d) (fffffffffffffe2d,360d)
(241,3eb) (c1,3eb)
(155,39d9) (1a69,39d9)
(a5d9,b7eb) (ffffffffffffe959,b7eb)
(126d,17db) (9e5,17db)
(119,27cb) (fffffffffffffec1,27cb)
(355,f71) (fffffffffffffc71,f71)
(15fd,9485) (2a55,9485)
(1137,36a3) (fffffffffffff527,36a3)
(1dcf,3691) (ffffffffffffedff,3691)
(1fa7,63e5) (fffffffffffff607,63e5)
(208d,e0ff) (5e85,e0ff)
(259,667) (fffffffffffffdd1,667)
(e71,22d5) (ed1,22d5)
(216d,ea55) (25dd,ea55)
(c43,2533) (fffffffffffff55b,2533)
(176b,1def) (fffffffffffff203,1def)
(2d9b,67c9) (2c87,67c9)
(772f,9607) (ffffffffffffb6cf,9607)
(157,288b) (ffffffffffffffa7,288b)
(111b,3a55) (16d3,3a55)
(1571,3319) (fffffffffffffbd9,3319)
(39ad,4c37) (ffffffffffffec25,4c37)
(177d,3365) (199,3365)
(1bd7,31fd) (deb,31fd)
(7ed,daf) (4a5,daf)
(2095,4793) (ffffffffffffed7d,4793)
(1dcb,bb45) (ffffffffffffdd17,bb45)
(526d,7523) (ffffffffffffdb5d,7523)
(1681,1cdb) (fffffffffffffe91,1cdb)
(2739,409f) (759,409f)
(8b8b,c4fd) (ffffffffffffa3d7,c4fd)
(3a1,2c27) (ffffffffffffeb11,2c27)
(e6f,206b) (fffffffffffff18f,206b)
(1357,1aed) (727,1aed)
(671,1055) (191,1055)
(22d,1e67) (5d5,1e67)
(4019,9607) (ffffffffffffe0a9,9607)
(b2d,f77) (fffffffffffffc45,f77)
(1579,1bbb) (931,1bbb)
(dab,17dd) (fffffffffffff703,17dd)
(2589,4999) (e75,4999)
(17d9,97ff) (fffffffffffffcb9,97ff)
(523,791) (eb,791)
(191,4d9) (1f1,4d9)
(df,1d9) (ffffffffffffff8f,1d9)
(116b,b3cf) (2863,b3cf)
(529,13bd) (8e9,13bd)
(1eb,2939) (8f3,2939)
(a2d,317b) (55d,317b)
(4aab,81d1) (170f,81d1)
(55,b41) (fffffffffffffdb5,b41)
(1529,2ffb) (fffffffffffff8f1,2ffb)
(13f,4ed) (ffffffffffffffbf,4ed)
(9373,b3cf) (269b,b3cf)
(33b5,6247) (ffffffffffffedc5,6247)
(5cf,e1b) (fffffffffffffdbf,e1b)
(e0b,f35) (fffffffffffffe63,f35)
(1c1,2ef1) (fffffffffffffb31,2ef1)
(33d,383) (e5,383)
(1e79,3613) (1591,3613)
(23db,73d3) (3593,73d3)
(143,8d7) (6b,8d7)
(2411,b5b1) (10f1,b5b1)
(18d,5d35) (fffffffffffff431,5d35)
(2d1,8b3) (191,8b3)
(385,3053) (171d,3053)
(23b,d15) (573,d15)
(58eb,669d) (ffffffffffffd5c3,669d)
(161,637) (101,637)
(18d,205) (49,205)
(2197,49eb) (fffffffffffff5e7,49eb)
(242b,3af1) (ffffffffffffe51f,3af1)
(55d5,ad59) (ffffffffffffcc7d,ad59)
(5183,9ac1) (fffffffffffff9db,9ac1)
(145d,292d) (fffffffffffff0f9,292d)
(3177,4951) (ffffffffffffdf07,4951)
(3fa9,495b) (ffffffffffffde89,495b)
(286d,2a7d) (fffffffffffff6a5,2a7d)
(55a7,6163) (ffffffffffffd847,6163)
(12fd,9fd1) (ca9,9fd1)
(779f,8875) (ffffffffffffd05f,8875)
(48f7,4c25) (ffffffffffffe2c7,4c25)
(44f,a27) (fffffffffffffbef,a27)
(2005,2a79) (779,2a79)
(d81,242f) (8a1,242f)
(8ad,fdd) (fffffffffffff9ad,fdd)
(1ba7,338f) (ffffffffffffec07,338f)
(9ad,f77) (fffffffffffffaf5,f77)
(293,114b) (6fb,114b)
(3f3b,6e27) (1f8b,6e27)
(4fa5,50e7) (ffffffffffffe6ed,50e7)
(1f,bc5) (fffffffffffffe8f,bc5)
(1417,1ae9) (fffffffffffffe9f,1ae9)
(189b,21cb) (833,21cb)
(67,30d) (fffffffffffffeb3,30d)
(11,47b) (ffffffffffffff81,47b)
(683,ea5) (6d7,ea5)
(59d7,6995) (ffffffffffffff9b,6995)
(eff,733f) (ffffffffffffda7f,733f)
(1921,2917) (c91,2917)
(233f,245b) (84f,245b)
(20cf,2f5f) (3bf,2f5f)
(473,bbf) (3fb,bbf)
(1c5d,21ad) (fffffffffffffab5,21ad)
(1b0b,4271) (f23,4271)
(9ab,24a3) (fffffffffffff9a3,24a3)
(d9,1403) (fffffffffffffa19,1403)
(373,1961) (fffffffffffffabb,1961)
(55,a27) (1d,a27)
(1265,5d23) (286d,5d23)
(1aff,23d1) (5cf,23d1)
(1823,2723) (fffffffffffff85b,2723)
(2d9,11b3) (7e1,11b3)
(2183,2c7b) (42b,2c7b)
(60c5,a2dd) (ffffffffffffb90d,a2dd)
(16d3,3f83) (fffffffffffff3c3,3f83)
(da3,ea5) (557,ea5)
(d85,171d) (1cd,171d)
(1819,3c2b) (be9,3c2b)
(a847,b34d) (ffffffffffffb8f7,b34d)
(e59,111b) (fffffffffffffef9,111b)
(29b9,8e97) (ffffffffffffca91,8e97)
(8ff,112f) (54f,112f)
(ac5,18a9) (6a1,18a9)
(1ec7,268d) (1f3,268d)
(b8f,4c37) (1f9f,4c37)
(30b,1439) (b3,1439)
(18f,2941) (cf,2941)
(76f,182f) (61f,182f)
(12d,e89) (fffffffffffffed5,e89)
(a1,30b) (a1,30b)
(ba7,2ed9) (83b,2ed9)
(2849,bb19) (3365,bb19)
(5fbf,719b) (ffffffffffffd307,719b)
(55d,1c03) (985,1c03)
(9c5,ad3) (fffffffffffffc8d,ad3)
(67f,f85) (fffffffffffff8df,f85)
(c77,175f) (7c7,175f)
(14d9,1627) (ffffffffffffffc1,1627)
(aa49,d987) (3fe9,d987)
(1c0d,317b) (118d,317b)
(697,87d) (ffffffffffffff27,87d)
(5d2f,72a9) (35cf,72a9)
(a73,c23) (fffffffffffffab3,c23)
(12a1,1ccd) (d01,1ccd)
(74f,12d3) (74f,12d3)
(ef3,38bf) (9cb,38bf)
(1ff,a03) (fffffffffffffcaf,a03)
(1683,18a9) (1ff,18a9)
(615,89bf) (3cd5,89bf)
(1c5b,3709) (ffffffffffffe9d3,3709)
(1503,1c03) (fffffffffffff523,1c03)
(12a1,4f43) (fffffffffffffaa1,4f43)
(faf,7691) (787,7691)
(2a67,ab23) (ffffffffffffedd7,ab23)
(15b,3af) (fffffffffffffec3,3af)
(142b,4fbd) (24c3,4fbd)
(3f35,7757) (ffffffffffffdafd,7757)
(1f97,288b) (1067,288b)
(3fc3,4fd5) (1803,4fd5)
(c93,19b7) (fffffffffffffbbb,19b7)
(54b,338f) (263,338f)
(295,47b) (fffffffffffffed5,47b)
(7b79,9bed) (ffffffffffffcf41,9bed)
(593,817) (fffffffffffffc63,817)
(132d,21cb) (fffffffffffff695,21cb)
(9aab,d987) (e83,d987)
(3b4b,44b9) (1be3,44b9)
(2557,544f) (2007,544f)
(71,605) (101,605)
(49d,d6f) (3ad,d6f)
(13f9,211f) (d9,211f)
(1ae7,6281) (11ab,6281)
(2521,2e2b) (5d1,2e2b)
(db7,945b) (fffffffffffff617,945b)
